Net Id, Layer Id,Profile Layer Id,Layer Name,Layer Type,DLD DDR Read(byte),DSTR DDR Write(byte),WLD DDR Read(byte),Original Ops(Times),Core Ops(Times)
NetNnn0,Total,--,--,--,1560256,1147472,1265920,158350592,170278912
NetNnn0,Layer0,0,features,Preprocess,13440,6720,0,0,0
NetNnn0,Layer1,1,/Transpose,Permute,6720,7168,0,0,0
NetNnn0,Layer2,2,/Unsqueeze,Reshape,7168,0,0,0,0
NetNnn0,Layer3,3,/input_norm/LayerNorm,LayerNorm,0,0,0,0,0
NetNnn0,Layer4,4,/input_proj/Conv,Convolution,0,30720,14336,1720320,1835008
NetNnn0,Layer5,5,/input_activation/Gelu,VectorCombine,30720,30720,0,0,0
NetNnn0,Layer6,6,/Add,BinaryMath,30720,30720,0,0,0
NetNnn0,Layer7,7,/layers.0/attention/q/Conv,Convolution,30720,16384,65536,7864320,8388608
NetNnn0,Layer8,8,/layers.0/attention/k/Conv,Convolution,30720,16384,65536,7864320,8388608
NetNnn0,Layer9,9,/layers.0/attention/MatMul_trans_0,MatMul,32768,30720,1024,1843200,2097152
NetNnn0,Layer10,10,/layers.0/attention/Softmax_trans_0,Softmax,30720,15360,0,0,0
NetNnn0,Layer11,11,/layers.0/attention/v/Conv,Convolution,30720,16384,65536,7864320,8388608
NetNnn0,Layer12,12,/layers.0/attention/Reshape_2,Reshape,16384,0,0,0,0
NetNnn0,Layer13,13,/layers.0/attention/MatMul_1_trans_0,MatMul,15360,16384,1024,1843200,2097152
NetNnn0,Layer14,14,/layers.0/attention/out_proj/Conv,Convolution,16384,30720,65536,7864320,8388608
NetNnn0,Layer15,15,/layers.0/Add,Eltwise,61440,30720,0,0,0
NetNnn0,Layer16,16,/layers.0/norm1/LayerNorm,LayerNorm,30720,30720,0,0,0
NetNnn0,Layer17,17,/layers.0/linear1/Conv,Convolution,30720,30720,65536,7864320,8388608
NetNnn0,Layer18,18,/layers.0/activation/Gelu,VectorCombine,30720,15360,0,0,0
NetNnn0,Layer19,19,/layers.0/linear2/Conv,Convolution,15360,30720,65536,7864320,8388608
NetNnn0,Layer20,20,/layers.0/Add_1,Eltwise,61440,30720,0,0,0
NetNnn0,Layer21,21,/layers.0/norm2/LayerNorm,LayerNorm,30720,30720,0,0,0
NetNnn0,Layer22,22,/layers.1/attention/q/Conv,Convolution,30720,16384,65536,7864320,8388608
NetNnn0,Layer23,23,/layers.1/attention/k/Conv,Convolution,30720,16384,65536,7864320,8388608
NetNnn0,Layer24,24,/layers.1/attention/MatMul_trans_0,MatMul,32768,30720,1024,1843200,2097152
NetNnn0,Layer25,25,/layers.1/attention/Softmax_trans_0,Softmax,30720,15360,0,0,0
NetNnn0,Layer26,26,/layers.1/attention/v/Conv,Convolution,30720,16384,65536,7864320,8388608
NetNnn0,Layer27,27,/layers.1/attention/Reshape_2,Reshape,16384,0,0,0,0
NetNnn0,Layer28,28,/layers.1/attention/MatMul_1_trans_0,MatMul,15360,16384,1024,1843200,2097152
NetNnn0,Layer29,29,/layers.1/attention/out_proj/Conv,Convolution,16384,30720,65536,7864320,8388608
NetNnn0,Layer30,30,/layers.1/Add,Eltwise,61440,30720,0,0,0
NetNnn0,Layer31,31,/layers.1/norm1/LayerNorm,LayerNorm,30720,30720,0,0,0
NetNnn0,Layer32,32,/layers.1/linear1/Conv,Convolution,30720,30720,65536,7864320,8388608
NetNnn0,Layer33,33,/layers.1/activation/Gelu,VectorCombine,30720,15360,0,0,0
NetNnn0,Layer34,34,/layers.1/linear2/Conv,Convolution,15360,30720,65536,7864320,8388608
NetNnn0,Layer35,35,/layers.1/Add_1,Eltwise,61440,30720,0,0,0
