Net Id, Layer Id,Profile Layer Id,Layer Name,Layer Type,DLD DDR Read(byte),DSTR DDR Write(byte),WLD DDR Read(byte),Original Ops(Times),Core Ops(Times)
NetNnn0,Total,--,--,--,2226240,1844176,240409,158350592,661012480
NetNnn0,Layer0,0,features,Preprocess,13440,0,0,0,0
NetNnn0,Layer1,1,/head/input_proj/input_proj.0/LayerNormalization,LayerNorm,0,0,0,0,0
NetNnn0,Layer2,2,/head/input_proj/input_proj.1/MatMul,MatMul,0,15360,1,1720320,1835008
NetNnn0,Layer3,3,/head/input_proj/input_proj.1/Add,BinaryMath,15360,0,0,0,0
NetNnn0,Layer4,3,/head/input_proj/input_proj.2/Mul_1,VectorCombine,0,0,0,0,0
NetNnn0,Layer5,3,/head/Add,BinaryMath,0,15360,0,0,0
NetNnn0,Layer6,4,/head/encoder/layers.0/self_attn/Transpose,Permute,15360,15360,0,0,0
NetNnn0,Layer7,5,/head/encoder/layers.0/self_attn/MatMul,MatMul,15360,46080,3600,23592960,188743680
NetNnn0,Layer8,6,/head/encoder/layers.0/self_attn/Add,BinaryMath,46080,46080,0,0,0
NetNnn0,Layer9,7,/head/encoder/layers.0/self_attn/Transpose_1_transpose_0_0,Permute,46080,46080,0,0,0
NetNnn0,Layer10,8,/head/encoder/layers.0/self_attn/Transpose_1_transpose_1_0,Permute,46080,46080,0,0,0
NetNnn0,Layer11,9,/head/encoder/layers.0/self_attn/Transpose_1_transpose_2_0,Permute,46080,46080,0,0,0
NetNnn0,Layer12,10,/head/encoder/layers.0/self_attn/Transpose_1_transpose_3_0,Permute,46080,46080,0,0,0
NetNnn0,Layer13,11,/head/encoder/layers.0/self_attn/Squeeze,Reshape,46080,46080,0,0,0
NetNnn0,Layer14,12,/head/encoder/layers.0/self_attn/Gather,Gather,46080,15360,0,0,0
NetNnn0,Layer15,13,/head/encoder/layers.0/self_attn/Reshape_3,Reshape,15360,0,0,0,0
NetNnn0,Layer16,14,/head/encoder/layers.0/self_attn/Transpose_2,Permute,0,0,0,0,0
NetNnn0,Layer17,15,/head/encoder/layers.0/self_attn/Reshape_6,Reshape,0,0,0,0,0
NetNnn0,Layer18,16,/head/encoder/layers.0/self_attn/Mul,BinaryMath,0,15360,0,0,0
NetNnn0,Layer19,17,/head/encoder/layers.0/self_attn/Gather_1,Gather,46080,15360,0,0,0
NetNnn0,Layer20,18,/head/encoder/layers.0/self_attn/Reshape_4,Reshape,15360,0,0,0,0
NetNnn0,Layer21,19,/head/encoder/layers.0/self_attn/Transpose_3,Permute,0,0,0,0,0
